Player,Team,Pos,Archetype
Moses Brown,2TM,C,Rim running shotblocker
Moses Brown,LAC,C,Rim running shotblocker
Moses Brown,BRK,C,Rim running shotblocker
Bismack Biyombo,PHO,C,Rim running shotblocker
Michael Carter-Williams,ORL,PG,Secondary Playmaker
Justin Minaya,POR,SF,Unclassified
Xavier Sneed,CHO,SF,Secondary Playmaker
Paul Reed,PHI,C,Rim running shotblocker
Admiral Schofield,ORL,PF,Unclassified
Ish Wainright,PHO,SF,Switchable defender
McKinley Wright IV,DAL,PG,Secondary Playmaker
Matisse Thybulle,2TM,SG,Switchable defender
Matisse Thybulle,PHI,SF,Switchable defender
Matisse Thybulle,POR,SG,3&D Specialist
Blake Griffin,BOS,C,Unclassified
Kevon Harris,ORL,SG,Unclassified
Serge Ibaka,MIL,C,Unclassified
Isaiah Roby,SAS,PF,Unclassified
Daishen Nix,HOU,PG,Unclassified
Olivier Sarr,OKC,C,Rim running shotblocker
Bruno Fernando,2TM,C,Unclassified
Bruno Fernando,HOU,C,Unclassified
Bruno Fernando,ATL,C,Rim running shotblocker
Patrick Baldwin Jr.,GSW,SF,Microwave
Dominick Barlow,SAS,PF,Athletic Finisher
Gorgui Dieng,SAS,C,Rim running shotblocker
Udonis Haslem,MIA,C,Unclassified
Aaron Holiday,ATL,PG,Pitbull
Jabari Walker,POR,SF,Unclassified
Markieff Morris,2TM,PF,Unclassified
Markieff Morris,BRK,PF,Unclassified
Markieff Morris,DAL,PF,Playmaking forward
Xavier Cooks,WAS,PF,Rim running shotblocker
Dyson Daniels,NOP,PG,Pitbull
Darius Days,HOU,SF,Unclassified
Caleb Houstan,ORL,SF,Unclassified
Furkan Korkmaz,PHI,SG,Shooter
Luke Kornet,BOS,C,Rim running shotblocker
JT Thor,CHO,PF,Unclassified
A.J. Lawson,2TM,SG,Athletic Finisher
A.J. Lawson,MIN,SG,Athletic Finisher
A.J. Lawson,DAL,SG,Athletic Finisher
David Duke Jr.,BRK,SG,Unclassified
Nathan Knight,MIN,C,Rim running shotblocker
Jordan McLaughlin,MIN,PG,Pitbull
Orlando Robinson,MIA,C,Unclassified
Matt Ryan,2TM,SF,Shooter
Matt Ryan,LAL,SF,Shooter
Matt Ryan,MIN,SF,Shooter
Bryn Forbes,MIN,SG,Shooter
Damian Jones,2TM,C,Rim running shotblocker
Damian Jones,LAL,C,Rim running shotblocker
Damian Jones,UTA,C,Rim running shotblocker
